id,Name,Gender,Produit,Type,Prix,Date
1.0,Mark Green,Male,Saucisson à l'anis,Charcuterie,1400.0,2022-11-18 02:48:01
2.0,Chukwudi Eze,Male,Pâté de lapin aux noix,Charcuterie,1800.0,2022-04-26 20:34:38
3.0,Babatunde Adewale,Male,Sachet de sel,Condiment,500.0,2022-11-14 13:08:04
4.0,Victoria Young,Female,Terrine de faisan aux morilles,Charcuterie,1700.0,2022-07-23 09:55:19
5.0,Fanta Camara,Female,Baume après-rasage hydratant Nivea,Produits de rasage,700.0,2022-11-19 13:01:12
6.0,Peyton Perez,Female,Sachet de sel,Condiment,500.0,2022-03-18 08:02:21
7.0,Adam Scott,Male,Baume à cuticules Sally Hansen,Produits de soin pour les ongles,1000.0,2022-09-22 22:21:13
8.0,Kyle Lewis,Male,Sachet de thé Lipton,Thé,500.0,2022-06-12 06:47:13
9.0,Ngozi Eze,Female,Déodorant stick Narta,Produits d'hygiène,800.0,2022-01-24 23:39:23
10.0,Hudson Wilson,Male,Saucisse de Morteau,Charcuterie,1600.0,2022-03-10 00:05:22
11.0,Anna Thompson,Female,Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500.0,2022-11-06 13:34:46
12.0,Nneka Eze,Female,Bouteille de Jack Daniel,Liqueur,5000.0,2022-07-24 03:54:19
13.0,Musa Abubakar,Male,Andouille,Charcuterie,1600.0,2022-02-19 07:53:32
14.0,Musa Abubakar,Male,Paquet de riz complet,Alimentation,1500.0,2022-02-07 15:09:49
15.0,Betty King,Female,Déodorant spray fraîcheur instantanée Nivea,Produits d'hygiène,800.0,2022-10-25 23:43:50
16.0,Philip Robinson,Male,Boîte de mouchoirs en papier Kleenex,Hygiène,1000.0,2022-07-30 13:25:48
17.0,Sharon Simmons,Female,Pâté de cerf,Charcuterie,1800.0,2022-02-23 11:19:33
18.0,Idris Bello,Male,Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200.0,2022-07-21 17:01:33
19.0,Victoria Powell,Female,Sac de riz Basmati,Alimentation,4000.0,2022-03-17 14:23:21
20.0,Kwesi Agyei,Male,Petite bouteille de Coca-Cola,Boisson,500.0,2022-10-20 17:20:00
21.0,Camila Washington,Female,Soin anti-fatigue pour le visage Nivea,Produits de soin pour le visage,2500.0,2022-10-27 05:50:05
22.0,Adanna Nwachukwu,Female,Coppa,Charcuterie,1600.0,2022-09-10 07:58:08
23.0,Jabari Tetteh,Male,Bouteille de shampoing Head & Shoulders,Hygiène,1500.0,2022-10-22 08:17:25
24.0,Mamadou Diallo,Male,Saucisson à l'ail,Charcuterie,1300.0,2022-03-20 02:31:13
25.0,Roger Hughes,Male,Terrine de perdreau,Charcuterie,1700.0,2022-10-17 03:58:09
26.0,Chinelo Nwachukwu,Female,Crème de nuit régénérante L'Oréal,Produits de soin pour le visage,1200.0,2022-11-04 20:30:39
27.0,Sylvia Jenkins,Female,Sérum hydratant Vichy,Produits de soin pour le visage,3000.0,2022-07-30 07:24:33
28.0,Samuel Alexander,Male,Déodorant Rexona,Produits d'hygiène,800.0,2022-12-13 13:24:11
29.0,Kwaku Boateng,Male,Sérum hydratant Vichy,Produits de soin pour le visage,3000.0,2022-05-27 03:56:18
30.0,Jerry Coleman,Male,Pâté de sanglier,Charcuterie,1800.0,2022-03-01 23:10:42
31.0,Christopher Wilson,Male,Saucisson au genièvre,Charcuterie,1400.0,2022-08-28 00:11:30
32.0,Fatimah Ibrahim,Female,Sac de croquettes pour chien Pedigree,Animaux,2000.0,2022-08-02 05:33:20
33.0,Obinna Chukwu,Male,Bouteille de sauce soja,Condiment,1000.0,2022-05-09 09:20:56
34.0,Julia Garcia,Male,Gel coiffant effet mouillé Schwarzkopf,Produits de coiffure,1500.0,2022-09-11 02:36:29
35.0,Brandon Wright,Male,Sachet de sucre vanillé,Sucrerie,500.0,2022-09-21 21:21:01
36.0,Babatunde Adewale,Male,Dentifrice blanchissant Colgate,Produits d'hygiène dentaire,500.0,2022-02-21 07:58:54
37.0,Abigail Mensah,Female,Boudin noir,Charcuterie,1500.0,2022-03-25 15:50:11
38.0,Peyton Perez,Female,Paquet de chips Lay's,Snack,750.0,2022-08-07 18:24:29
39.0,Nabila Cissé,Female,Shampooing réparateur Elsève,Produits de soin capillaire,1500.0,2022-05-14 16:51:20
40.0,Kwadwo Keita,Male,Rillettes de poisson,Charcuterie,1300.0,2022-07-30 17:57:39
41.0,Christian Adams,Male,Sachet de sucre Daddy,Sucrerie,500.0,2022-08-04 12:33:41
42.0,Julian Howard,Male,Sachet de piment en poudre,Condiment,500.0,2022-12-21 01:21:21
43.0,Mohammed Maalouf,Male,Andouille,Charcuterie,1600.0,2022-08-04 23:59:16
44.0,Aisha Ibrahim,Female,Gel douche exfoliant Nivea,Produits de douche,1200.0,2022-08-18 01:45:40
45.0,Kwame Mensah,Male,Petite bouteille de Coca-Cola,Boisson,500.0,2022-01-21 16:17:01
46.0,Kwaku Amponsah,Male,Saucisse au poivre,Charcuterie,1600.0,2022-07-23 18:14:28
47.0,Fanta Camara,Female,Sachet de pâtes de curry rouge,Condiment,750.0,2022-07-10 15:04:58
48.0,Nneka Nwadike,Female,Crème anti-rides Nivea,Produits de soin pour le visage,2500.0,2022-10-06 08:36:57
49.0,Jabari Nkrumah,Male,Pâté de marcassin aux airelles,Charcuterie,1800.0,2022-01-23 12:31:41
50.0,Fatima Nkrumah,Female,Rillettes de canard,Charcuterie,1400.0,2022-05-18 21:40:59
51.0,Emeka Nnamdi,Male,Pâté de porc,Charcuterie,1200.0,2022-05-16 20:42:50
52.0,Chukwudi Eze,Male,Crème réparatrice pour les mains Neutrogena,Produits de soin pour les mains,1000.0,2022-06-24 19:03:01
53.0,Chinwe Okonkwo,Male,Pain de savon Lux,Hygiène,500.0,2022-11-18 03:09:36
54.0,Kwadwo Keita,Male,Shampooing réparateur Elsève,Produits de soin capillaire,1500.0,2022-09-04 12:02:15
55.0,Mamoudou Keita,Male,Terrine de faisan,Charcuterie,1700.0,2022-08-25 23:36:35
56.0,Angela Lopez,Female,Shampooing anti-chute Vichy,Produits de soin capillaire,1800.0,2022-10-07 05:35:05
57.0,Isaac Clark,Male,Sachet de feuilles de thé,Thé,500.0,2022-02-05 05:31:52
58.0,Simba Moyo,Male,Paquet de riz complet,Alimentation,1500.0,2022-03-16 16:05:15
59.0,Daniel Phillips,Male,Dentifrice blancheur intense Colgate,Produits d'hygiène dentaire,500.0,2022-03-01 03:23:36
60.0,Ruth Foster,Female,Gel douche nourrissant à l'huile d'amande Neutrogena,Produits de douche,1200.0,2022-10-02 22:40:12
61.0,Emily Carter,Female,Sachet de graines de sésame,Condiment,750.0,2022-02-08 21:00:50
62.0,Lily Morris,Female,Saucisson de Lyon,Charcuterie,1400.0,2022-09-02 01:53:50
63.0,David Bell,Male,Saucisse de porc,Charcuterie,1600.0,2022-07-30 01:21:09
64.0,Zoe Nelson,Female,Bouteille de Jack Daniel,Liqueur,5000.0,2022-10-26 10:32:27
65.0,Sekou Diop,Male,Pot de crème hydratante Nivea,Hygiène,1500.0,2022-03-26 14:52:39
66.0,Danielle Bailey,Female,Soin contour des lèvres L'Oréal,Produits de soin des lèvres,700.0,2022-11-23 18:51:10
67.0,Sekou Toure,Male,Crème anti-âge L'Oréal,Produits de soin pour le visage,2500.0,2022-03-13 03:14:04
68.0,Natalie Flores,Female,Jambon de Montagne Noire,Charcuterie,2000.0,2022-05-08 05:46:59
69.0,John Parker,Male,Saucisse sèche,Charcuterie,1700.0,2022-09-03 16:37:27
,,,,,,
,,,,,,
71.0,Hazel Miller,Female,Crème réparatrice pour les pieds Scholl,Produits de soin pour les pieds,1500.0,2022-08-30 23:00:19
72.0,Saidi Jalloh,Male,Baume nourrissant pour les mains L'Occitane,Produits de soin pour les mains,1000.0,2022-01-14 10:08:21
73.0,Joseph White,Male,Sachet de thé vert,Thé,500.0,2022-04-25 14:47:45
74.0,Amanda Lopez,Female,Pâté de cerf,Charcuterie,1800.0,2022-01-30 19:04:13
75.0,Osei Bonsu,Male,Gel nettoyant visage purifiant L'Oréal,Produits de soin pour le visage,1800.0,2022-04-16 18:41:10
76.0,Chinwe Ogbonna,Female,Terrine de chevreuil,Charcuterie,1700.0,2022-11-12 01:07:26
77.0,Chinedu Okoro,Male,Pâté de perdreau,Charcuterie,1800.0,2022-11-08 12:49:02
78.0,Alan Diaz,Male,Crème pour les pieds à l'urée Scholl,Produits de soin pour les pieds,1500.0,2022-10-17 01:44:41
79.0,Chinelo Nwachukwu,Female,Shampooing hydratant Timotei,Produits de soin capillaire,1500.0,2022-03-28 20:08:09
80.0,Mohammed Maalouf,Male,Crème solaire peaux sensibles Avène,Produits de protection solaire,2000.0,2022-08-03 16:57:09
81.0,Angela Lopez,Female,Sachet de poivre noir,Condiment,500.0,2022-04-29 02:14:13
82.0,Michelle Howard,Female,Paquet de biscuits Petit Beurre,Biscuits,1000.0,2022-09-27 21:27:09
83.0,Luke Foster,Male,Soin contour des lèvres L'Oréal,Produits de soin des lèvres,700.0,2022-07-07 07:12:14
84.0,Musa Abubakar,Male,Sachet de sel,Condiment,500.0,2022-04-09 04:29:33
